REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_kps_surface-insitu_28_9999-9999_monthly.txt
REM03  STATION: K-Puszta
REM04  CATEGORY: GAW Regional
REM05  COUNTRY/TERRITORY: Hungary
REM06  SUBMITTED BY: HMS
REM07  LATITUDE:   46 58' N
REM08  LONGITUDE:  19 35' E
REM09  ALTITUDE:      125 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: January 1981 - June 1999
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(1981-01-01 - 1999-06-01)
REM15  SAMPLING TYPE: surface-insitu
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(1981-01-01 - 1999-06-01)
REM18  TABLENAME: KPS646N028iz
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-06-13
REM21
REM22  COMMENT: Dataset was made using the former WDCGG data file
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
1991 02  375.741 -99    28   9.740   0  1.000000  0.000000
1991 03  368.434 -99    22   4.837   0  1.000000  0.000000
1991 04  357.809 -99    27   4.209   0  1.000000  0.000000
1991 05  354.736 -99    22   4.205   0  1.000000  0.000000
1991 06  348.177 -99    30   3.574   0  1.000000  0.000000
1991 07  344.088 -99    29   9.278   0  1.000000  0.000000
1991 08  343.287 -99    30   6.456   0  1.000000  0.000000
1991 09  352.891 -99    26  12.705   0  1.000000  0.000000
1991 10  358.723 -99    31   5.453   0  1.000000  0.000000
1991 11  368.233 -99    22   5.967   0  1.000000  0.000000
1991 12  374.776 -99    30   9.336   0  1.000000  0.000000
1992 01  372.437 -99    20   9.493   0  1.000000  0.000000
1992 02  366.006 -99    27   4.950   0  1.000000  0.000000
1992 03  365.969 -99    16   4.040   0  1.000000  0.000000
1992 04 -9999999 -99     0 -999999   8  1.000000  0.000000
1992 05 -9999999 -99     0 -999999   8  1.000000  0.000000
1992 06 -9999999 -99     0 -999999   8  1.000000  0.000000
1992 07 -9999999 -99     0 -999999   8  1.000000  0.000000
1992 08 -9999999 -99     0 -999999   8  1.000000  0.000000
1992 09 -9999999 -99     0 -999999   8  1.000000  0.000000
1992 10  357.175 -99    31   6.828   0  1.000000  0.000000
1992 11  362.434 -99    28   7.916   0  1.000000  0.000000
1992 12  369.252 -99    31   7.034   0  1.000000  0.000000
1993 01  369.138 -99    30   8.547   0  1.000000  0.000000
1993 02 -9999999 -99     3 -999999   8  1.000000  0.000000
1993 03  366.991 -99    27   6.791   0  1.000000  0.000000
1993 04  358.159 -99    29   4.743   0  1.000000  0.000000
1993 05  350.170 -99    23   4.170   0  1.000000  0.000000
1993 06  345.766 -99    29   4.092   0  1.000000  0.000000
1993 07  344.908 -99    27   5.699   0  1.000000  0.000000
1993 08  344.096 -99    30   4.225   0  1.000000  0.000000
1993 09 -9999999 -99     5 -999999   8  1.000000  0.000000
1993 10  360.644 -99    11   4.760   0  1.000000  0.000000
1993 11  372.340 -99    28   9.294   0  1.000000  0.000000
1993 12  370.420 -99    31  12.140   0  1.000000  0.000000
1994 01  367.845 -99    28   7.096   0  1.000000  0.000000
1994 02  369.291 -99    21   8.603   0  1.000000  0.000000
1994 03  364.896 -99    22   3.654   0  1.000000  0.000000
1994 04  360.963 -99    27   2.980   0  1.000000  0.000000
1994 05  356.253 -99    22   3.157   0  1.000000  0.000000
1994 06  353.539 -99    24   5.429   0  1.000000  0.000000
1994 07  349.224 -99    31   3.535   0  1.000000  0.000000
1994 08  353.579 -99    29   4.426   0  1.000000  0.000000
1994 09  356.328 -99    30   6.847   0  1.000000  0.000000
1994 10  363.843 -99    23   5.534   0  1.000000  0.000000
1994 11  372.964 -99    30   8.106   0  1.000000  0.000000
1994 12  376.164 -99    16  13.393   0  1.000000  0.000000
1995 01  371.202 -99    13   8.201   0  1.000000  0.000000
1995 02  370.423 -99    26   4.001   0  1.000000  0.000000
1995 03  367.125 -99    30   4.265   0  1.000000  0.000000
1995 04  363.539 -99    29   3.141   0  1.000000  0.000000
1995 05  354.812 -99    22   3.802   0  1.000000  0.000000
1995 06  353.297 -99    25   3.710   0  1.000000  0.000000
1995 07  351.504 -99    29   2.895   0  1.000000  0.000000
1995 08  353.162 -99    30   2.922   0  1.000000  0.000000
1995 09  358.004 -99    22   4.531   0  1.000000  0.000000
1995 10  370.931 -99    18   7.765   0  1.000000  0.000000
1995 11  375.972 -99    26   9.480   0  1.000000  0.000000
1995 12  379.965 -99    30   7.269   0  1.000000  0.000000
1996 01  379.793 -99    17   7.443   0  1.000000  0.000000
1996 02  379.836 -99    29   6.443   0  1.000000  0.000000
1996 03  374.519 -99    11   3.280   0  1.000000  0.000000
1996 04 -9999999 -99     0 -999999   8  1.000000  0.000000
1996 05 -9999999 -99     0 -999999   8  1.000000  0.000000
1996 06 -9999999 -99     0 -999999   8  1.000000  0.000000
1996 07 -9999999 -99     0 -999999   8  1.000000  0.000000
1996 08  357.631 -99    17   6.853   0  1.000000  0.000000
1996 09  360.551 -99    22   7.127   0  1.000000  0.000000
1996 10  369.634 -99    29   8.426   0  1.000000  0.000000
1996 11  371.644 -99    30   6.810   0  1.000000  0.000000
1996 12  380.361 -99    30   5.215   0  1.000000  0.000000
1997 01  386.104 -99    31   6.982   0  1.000000  0.000000
1997 02  373.298 -99    28   7.643   0  1.000000  0.000000
1997 03  371.080 -99    30   2.906   0  1.000000  0.000000
1997 04  367.808 -99    30   1.623   0  1.000000  0.000000
1997 05  361.715 -99    29   3.887   0  1.000000  0.000000
1997 06  355.112 -99    30   3.847   0  1.000000  0.000000
1997 07  351.932 -99    31   5.190   0  1.000000  0.000000
1997 08  352.879 -99    31   4.623   0  1.000000  0.000000
1997 09  356.364 -99    30   3.645   0  1.000000  0.000000
1997 10  364.863 -99    31   3.955   0  1.000000  0.000000
1997 11  380.522 -99    30  12.282   0  1.000000  0.000000
1997 12  382.462 -99    31   8.243   0  1.000000  0.000000
1998 01  378.862 -99    31   8.283   0  1.000000  0.000000
1998 02  375.628 -99    28   5.285   0  1.000000  0.000000
1998 03  372.166 -99    31   2.599   0  1.000000  0.000000
1998 04  369.011 -99    30   3.287   0  1.000000  0.000000
1998 05  362.873 -99    31   4.697   0  1.000000  0.000000
1998 06  360.435 -99    29   4.741   0  1.000000  0.000000
1998 07  358.462 -99    25  12.971   0  1.000000  0.000000
1998 08  359.097 -99    26   3.721   0  1.000000  0.000000
1998 09  362.697 -99    26   4.018   0  1.000000  0.000000
1998 10  371.068 -99    30   7.595   0  1.000000  0.000000
1998 11  380.207 -99    30  11.266   0  1.000000  0.000000
1998 12  388.188 -99    30   9.536   0  1.000000  0.000000
1999 01  387.780 -99    31   9.651   0  1.000000  0.000000
1999 02  380.209 -99    27   6.336   0  1.000000  0.000000
1999 03  377.660 -99    31   3.587   0  1.000000  0.000000
1999 04  372.545 -99    30   3.057   0  1.000000  0.000000
1999 05  365.011 -99    31   4.144   0  1.000000  0.000000
1999 06  361.871 -99    30   4.546   0  1.000000  0.000000
