"","sitecode","lon","lat","file","records"
"75","HEI","8.674","49.417","co2_hei_surface-insitu_22_allvalid.nc","144198"
"76","HFM","-72.1714","42.5378","co2_hfm_tower-insitu_59_allhours.nc","33283"
"77","HNP","-79.3862","43.6121","co2_hnp_surface-insitu_6_allvalid.nc","17086"
"78","HPB","11.009931","47.801236","co2_hpb_surface-insitu_425_allvalid.nc","11475"
"79","HSU","-124.75","41.0588","co2_hsu_surface-flask_1_representative.nc","78"
"80","HTM","13.419","56.0976","co2_htm_tower-insitu_424_allvalid-150magl.nc","6779"
"81","HUN","16.65","46.95","co2_hun_surface-flask_1_representative.nc","1148"
"82","ICE","-20.2884","63.3998","co2_ice_surface-flask_1_representative.nc","680"
"83","INU","-133.5333","68.3167","co2_inu_surface-insitu_6_allvalid.nc","40567"
"84","INX01","-86.4207","39.5805","co2_inx01_surface-insitu_60_allhours.nc","10364"
"85","INX02","-86.0183","39.7978","co2_inx02_surface-insitu_60_allhours.nc","10793"
"86","INX03","-86.1651","39.7833","co2_inx03_surface-insitu_60_allhours.nc","4540"
"87","INX04","-86.1099","39.5926","co2_inx04_surface-insitu_60_allhours.nc","3336"
"88","INX05","-86.2028","39.8949","co2_inx05_surface-insitu_60_allhours.nc","5880"
"89","INX07","-86.2724","39.7739","co2_inx07_surface-insitu_60_allhours.nc","6391"
"90","INX09","-85.7448","39.8627","co2_inx09_surface-insitu_60_allhours.nc","4738"
"91","INX10","-86.1436","39.7181","co2_inx10_surface-insitu_60_allhours.nc","5135"
"92","INX12","-86.0403","39.7637","co2_inx12_surface-insitu_60_allhours.nc","2983"
"93","INX","-1e+34","-1e+34","co2_inx_surface-pfp_1_allvalid.nc","429"
"94","IZO","-16.499","28.309","co2_izo_surface-insitu_27_allvalid.nc","231279"
"95","JFJ","7.987","46.55","co2_jfj_surface-insitu_49_allvalid.nc","87610"
"96","KAS","19.9818","49.2325","co2_kas_surface-insitu_53_allvalid.nc","104055"
"97","KCMP","-93.0728","44.6886","co2_kcmp_tower-insitu_102_allhours-200magl.nc","6216"
"98","KEY","-80.158","25.6654","co2_key_surface-flask_1_representative.nc","1526"
"99","KUM","-154.82","19.52","co2_kum_surface-flask_426_representative.nc","1865"
"100","KZD","76.8712","44.0839","co2_kzd_surface-flask_1_representative.nc","556"
"101","KZM","77.88","43.25","co2_kzm_surface-flask_1_representative.nc","511"
