"","gas","station","measurement","number","sample","extension"
"260","co2","mhd","surface-insitu","11","representative",".nc"
"261","co2","mid","surface-flask","1","representative",".nc"
"262","co2","mid","surface-flask","1","representative","NRT.nc"
"263","co2","mkn","surface-flask","1","representative",".nc"
"264","co2","mlo","surface-flask","1","representative",".nc"
"265","co2","mlo","surface-flask","1","representative","NRT.nc"
"266","co2","mlo","surface-flask","2","representative",".nc"
"267","co2","mlo","surface-flask","426","representative",".nc"
"268","co2","mlo","surface-flask","4","representative",".nc"
"269","co2","mlo","surface-insitu","1","allvalid",".nc"
"270","co2","mlo","surface-insitu","1","allvalid","NRT.nc"
"271","co2","mnm","surface-insitu","19","representative",".nc"
"272","co2","mqa","surface-flask","2","representative",".nc"
"273","co2","mrc","aircraft-pfp","1","allvalid",".nc"
"274","co2","mrc","surface-pfp","1","allvalid",".nc"
"275","co2","mrc","surface-pfp","1","allvalid","NRT.nc"
"276","co2","mrc","tower-insitu","60","allvalid",".nc"
"277","co2","msh","surface-pfp","1","allvalid",".nc"
"278","co2","msh","surface-pfp","1","allvalid","NRT.nc"
"279","co2","mvy","surface-insitu","1","allvalid",".nc"
"280","co2","mwo","surface-pfp","1","allvalid",".nc"
"281","co2","mwo","surface-pfp","1","allvalid","NRT.nc"
"282","co2","nat","surface-flask","1","representative",".nc"
"283","co2","nat","surface-flask","1","representative","NRT.nc"
"284","co2","nat","surface-flask","26","marine",".nc"
"285","co2","nha","aircraft-pfp","1","allvalid",".nc"
"286","co2","nha","aircraft-pfp","1","allvalid","NRT.nc"
"287","co2","nmb","surface-flask","1","representative",".nc"
"288","co2","nmb","surface-flask","1","representative","NRT.nc"
"289","co2","nor","tower-insitu","424","allvalid-101magl",".nc"
"290","co2","nor","tower-insitu","424","allvalid-32magl",".nc"
"291","co2","nor","tower-insitu","424","allvalid-59magl",".nc"
"292","co2","nwr","surface-flask","1","representative",".nc"
"293","co2","nwr","surface-flask","1","representative","NRT.nc"
"294","co2","nwr","surface-insitu","3","nonlocal",".nc"
"295","co2","nwr","surface-pfp","1","allvalid",".nc"
"296","co2","nwr","surface-pfp","1","allvalid","NRT.nc"
"297","co2","obn","surface-flask","1","representative",".nc"
"298","co2","ofr","surface-insitu","68","allhours",".nc"
"299","co2","oil","aircraft-pfp","1","allvalid",".nc"
"300","co2","oli","surface-insitu","64","allvalid-10magl",".nc"
"301","co2","omp","surface-insitu","68","allhours",".nc"
"302","co2","omt","surface-insitu","68","allhours",".nc"
"303","co2","ong","surface-insitu","68","allhours",".nc"
"304","co2","orc","aircraft-insitu","3","allvalid-merge10",".nc"
"305","co2","osi","tower-insitu","68","allhours",".nc"
"306","co2","ota","surface-flask","2","representative",".nc"
"307","co2","owa","surface-insitu","68","allhours",".nc"
"308","co2","oxk","surface-flask","1","representative",".nc"
"309","co2","oxk","surface-flask","1","representative","NRT.nc"
"310","co2","oyq","surface-insitu","68","allhours",".nc"
"311","co2","pal","surface-flask","1","representative",".nc"
"312","co2","pal","surface-flask","1","representative","NRT.nc"
"313","co2","pal","surface-insitu","30","continental",".nc"
"314","co2","pal","surface-insitu","30","marine",".nc"
"315","co2","pal","surface-insitu","30","nonlocal",".nc"
"316","co2","pdm","surface-flask","11","representative",".nc"
"317","co2","pfa","aircraft-pfp","1","allvalid",".nc"
"318","co2","pfa","aircraft-pfp","1","allvalid","NRT.nc"
"319","co2","poc","shipboard-flask","1","representative",".nc"
"320","co2","poc","shipboard-flask","1","representative","NRT.nc"
"321","co2","prs","surface-insitu","21","allvalid",".nc"
"322","co2","psa","surface-flask","1","representative",".nc"
"323","co2","psa","surface-flask","1","representative","NRT.nc"
"324","co2","psa","surface-flask","4","representative",".nc"
"325","co2","pta","surface-flask","1","representative",".nc"
"326","co2","puy","surface-insitu","11","allvalid",".nc"
"327","co2","pv","surface-insitu","115","allhours-200magl",".nc"
"328","co2","rba-b","aircraft-pfp","26","representative",".nc"
"329","co2","rba","surface-insitu","3","nonlocal",".nc"
"330","co2","rce","surface-insitu","60","allhours",".nc"
"331","co2","rgl","tower-insitu","160","allvalid-45magl",".nc"
"332","co2","rgl","tower-insitu","160","allvalid-90magl",".nc"
"333","co2","rgv","surface-insitu","60","allhours",".nc"
"334","co2","rk1","surface-flask","426","representative",".nc"
"335","co2","rkw","surface-insitu","60","allhours",".nc"
"336","co2","rmm","surface-insitu","60","allhours",".nc"
"337","co2","rpb","surface-flask","1","representative",".nc"
"338","co2","rpb","surface-flask","1","representative","NRT.nc"
"339","co2","rrl","surface-insitu","60","allhours",".nc"
"340","co2","rta","aircraft-pfp","1","allvalid",".nc"
"341","co2","rta","aircraft-pfp","1","allvalid","NRT.nc"
"342","co2","ryo","surface-insitu","19","representative",".nc"
"343","co2","sam","aircraft-pfp","1","allvalid",".nc"
"344","co2","san","aircraft-pfp","1","allvalid",".nc"
"345","co2","san","aircraft-pfp","26","representative",".nc"
"346","co2","sca","aircraft-pfp","1","allvalid",".nc"
"347","co2","sca","aircraft-pfp","1","allvalid","NRT.nc"
"348","co2","sct","surface-pfp","1","allvalid",".nc"
"349","co2","sct","surface-pfp","1","allvalid","NRT.nc"
"350","co2","sct","tower-insitu","1","allvalid-305magl",".nc"
"351","co2","sct","tower-insitu","1","allvalid-305magl","NRT.nc"
"352","co2","sdz","surface-flask","1","representative",".nc"
"353","co2","seac4rs","aircraft-insitu","428","allvalid-dc8",".nc"
"354","co2","seac4rs","aircraft-insitu","428","allvalid-ER2",".nc"
"355","co2","senex2013","aircraft-insitu","114","allvalid",".nc"
"356","co2","sey","surface-flask","1","representative",".nc"
"357","co2","sey","surface-flask","1","representative","NRT.nc"
"358","co2","sgp","aircraft-pfp","1","allvalid",".nc"
"359","co2","sgp","aircraft-pfp","1","allvalid","NRT.nc"
"360","co2","sgp","surface-flask","1","representative",".nc"
"361","co2","sgp","surface-flask","1","representative","NRT.nc"
"362","co2","sgp","surface-insitu","64","allvalid-60magl",".nc"
"363","co2","shm","surface-flask","1","representative",".nc"
"364","co2","shm","surface-flask","1","representative","NRT.nc"
"365","co2","sis","surface-flask","2","representative",".nc"
"366","co2","smo","surface-flask","1","representative",".nc"
"367","co2","smo","surface-flask","1","representative","NRT.nc"
"368","co2","smo","surface-flask","426","representative",".nc"
"369","co2","smo","surface-flask","4","representative",".nc"
"370","co2","smo","surface-insitu","1","allvalid",".nc"
"371","co2","smo","surface-insitu","1","allvalid","NRT.nc"
"372","co2","smr","tower-insitu","421","allvalid-125magl",".nc"
"373","co2","smr","tower-insitu","421","allvalid-17magl",".nc"
